City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,east london,-33.0153,27.9116,13.52,71,0,4.63,ZA,1689650314
116,chonchi,-42.6128,-73.8092,-0.44,80,9,0.63,CL,1689650314
117,lere,10.387,8.5726,21.27,92,67,1.48,NG,1689650314
118,georgetown,5.4112,100.3354,31.96,74,20,2.06,MY,1689650223
119,zeya,53.75,127.2667,31.54,29,94,3.93,RU,1689650315
120,wainwright,52.839,-110.8572,16.42,88,76,5.39,CA,1689650315
121,hithadhoo,-0.6,73.0833,27.79,71,37,1.61,MV,1689650315
122,st. john's,47.5649,-52.7093,20.71,93,40,9.26,CA,1689650020
123,kargasok,59.0556,80.8572,21.45,49,10,2.93,RU,1689650315
124,new norfolk,-42.7826,147.0587,12.72,77,100,3.13,AU,1689650315
125,saipan,15.1355,145.701,31.39,100,40,4.12,MP,1689650316
126,pangkalanbuun,-2.6833,111.6167,30.63,53,51,3.1,ID,1689650316
127,iqaluit,63.7506,-68.5145,4.85,100,100,1.54,CA,1689650316
128,kodiak,57.79,-152.4072,12.73,88,100,4.63,US,1689650316
129,inhambane,-23.865,35.3833,17.68,76,0,1.89,MZ,1689650316
130,muisne,0.6,-80.0333,26.01,87,73,2.65,EC,1689650316
131,chimore,-16.9833,-65.1333,19.64,78,100,0.9,BO,1689650316
132,luderitz,-26.6481,15.1594,16.43,55,0,3.81,NA,1689650317
133,vila franca do campo,37.7167,-25.4333,19.23,82,56,0.79,PT,1689650317
134,lakki,32.6079,70.9114,34.97,46,2,2.16,PK,1689650317
135,vadso,70.0744,29.7487,16.49,82,75,2.57,NO,1689650317
136,nadi,-17.8,177.4167,26.0,65,75,5.66,FJ,1689650317
137,west island,-12.1568,96.8225,26.99,65,97,5.14,CC,1689650317
138,nouadhibou,20.931,-17.0347,22.99,73,40,8.75,MR,1689650318
139,fairview,40.8126,-73.999,27.01,78,0,4.02,US,1689650318
140,nikolayevsk-on-amure,53.1406,140.73,29.58,35,92,2.58,RU,1689650318
141,likiep,9.8251,169.3107,28.45,77,12,5.26,MH,1689650318
142,flin flon,54.7682,-101.865,16.85,68,69,2.33,CA,1689650318
143,sibut,5.718,19.0739,22.33,89,70,1.23,CF,1689650318
144,targu jiu,45.05,23.2833,22.28,63,1,1.21,RO,1689650318
145,oranjemund,-28.55,16.4333,12.87,88,0,2.33,NA,1689650318
146,simpang,-1.2667,104.0833,28.55,74,35,3.28,ID,1689650319
